provider_name_scraped,model_name_scraped,context_window,intelligence_index,response_time_s,tokens_per_s,source_url,last_updated_utc,is_free_source
Google Vertex,Claude 4 Sonnet Vertex,200000,53.0,7.46,83.0,,2025-06-24 16:33:06,true
Mistral,Mistral Large (Feb '24),33000,26.0,7.51,71.2,,2025-06-24 16:33:06,true
Amazon Bedrock,Llama 3.2 3B,128000,20.0,7.52,70.9,,2025-06-24 16:33:06,true
OpenAI,GPT-4o mini,128000,36.0,7.52,70.5,,2025-06-24 16:33:06,true
Anthropic,Claude 3.5 Sonnet (June),200000,N/A,7.58,78.9,,2025-06-24 16:33:06,true
Novita,Llama 3.2 3B,32000,20.0,7.64,72.8,,2025-06-24 16:33:06,true
Novita,Llama 3.1 8B,16000,24.0,7.67,73.0,,2025-06-24 16:33:06,true
Anthropic,Claude 3.7 Sonnet,200000,48.0,7.7,78.1,,2025-06-24 16:33:06,true
Fireworks,Yi-Large,32000,28.0,7.71,67.9,,2025-06-24 16:33:06,true
xAI,Grok Beta,128000,38.0,7.73,67.4,,2025-06-24 16:33:06,true
Novita,Llama 3 8B,8000,21.0,7.73,72.3,,2025-06-24 16:33:06,true
OpenAI,GPT-4.1 mini,1000000,53.0,7.74,68.2,,2025-06-24 16:33:06,true
Nebius Fast,Qwen2.5 72B Fast,131000,40.0,7.79,69.3,,2025-06-24 16:33:06,true
SambaNova,QwQ-32B,16000,58.0,7.87,400.2,,2025-06-24 16:33:06,true
SambaNova,Qwen3 32B (Reasoning),8000,59.0,7.91,336.0,,2025-06-24 16:33:06,true
Cohere,Command-R,128000,15.0,8.04,63.8,,2025-06-24 16:33:06,true
GMI,Qwen3 235B,41000,47.0,8.04,66.8,,2025-06-24 16:33:06,true
Deepinfra (FP8),Llama 4 Maverick (FP8),131000,51.0,8.11,63.8,,2025-06-24 16:33:06,true
Fireworks,DeepSeek V3 (Dec '24),128000,46.0,8.18,67.2,,2025-06-24 16:33:06,true
Anthropic,Claude 3.5 Sonnet (Oct),200000,44.0,8.25,78.5,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 235B,131000,47.0,8.26,70.2,,2025-06-24 16:33:06,true
Nebius Base,Llama 3.1 8B Base,128000,24.0,8.31,64.2,,2025-06-24 16:33:06,true
Deepinfra,Mistral NeMo,128000,20.0,8.37,61.1,,2025-06-24 16:33:06,true
Amazon Bedrock,Claude Instant,100000,N/A,8.45,63.4,,2025-06-24 16:33:06,true
Google (AI_Studio),Gemini 2.5 Flash (April '25) (Reasoning) (AI_Studio),1000000,60.0,8.56,363.4,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 14B,131000,41.0,8.56,66.5,,2025-06-24 16:33:06,true
Parasail,Mistral Small 3.1,128000,35.0,8.61,60.8,,2025-06-24 16:33:06,true
Cohere,Command-R+ (Apr '24),128000,20.0,8.64,59.4,,2025-06-24 16:33:06,true
Microsoft Azure,Llama 3.1 70B,128000,35.0,8.73,60.4,,2025-06-24 16:33:06,true
Amazon Bedrock,Llama 3.2 90B (Vision),128000,33.0,8.76,60.7,,2025-06-24 16:33:06,true
Lambda (FP8),Llama 3.3 70B (FP8),128000,41.0,8.85,58.5,,2025-06-24 16:33:06,true
Amazon Bedrock,Claude 4 Sonnet,200000,53.0,8.89,65.8,,2025-06-24 16:33:06,true
Microsoft Azure,GPT-4o mini,128000,36.0,8.92,64.1,,2025-06-24 16:33:06,true
Hyperbolic,Llama 3.2 3B,128000,20.0,8.93,65.4,,2025-06-24 16:33:06,true
Nebius Base,Qwen2.5 Instruct 32B Base,128000,37.0,8.96,59.5,,2025-06-24 16:33:06,true
Amazon Bedrock,Claude 3 Sonnet,200000,28.0,8.97,60.7,,2025-06-24 16:33:06,true
Anthropic,Claude 3.5 Haiku,200000,35.0,8.97,64.2,,2025-06-24 16:33:06,true
Google Vertex,Claude 3.5 Haiku Vertex,200000,35.0,9.01,65.5,,2025-06-24 16:33:06,true
Microsoft Azure,Phi-4 Mini,128000,26.0,9.1,56.9,,2025-06-24 16:33:06,true
Microsoft Azure,Mistral Medium 3,128000,49.0,9.21,56.9,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 32B,131000,44.0,9.35,60.7,,2025-06-24 16:33:06,true
Microsoft Azure,DeepSeek V3 0324 (Mar '25),128000,53.0,9.41,56.2,,2025-06-24 16:33:06,true
Together.ai,Mixtral 8x7B,33000,17.0,9.51,55.7,,2025-06-24 16:33:06,true
Deepinfra,Llama 3.2 11B (Vision),128000,N/A,9.54,55.3,,2025-06-24 16:33:06,true
Anthropic,Claude 3 Sonnet,200000,28.0,9.55,60.6,,2025-06-24 16:33:06,true
Deepinfra,Qwen2.5 Coder 32B,33000,36.0,9.82,52.2,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen2.5 72B,131000,40.0,9.86,58.2,,2025-06-24 16:33:06,true
Google Vertex,Claude 4 Opus Vertex,200000,58.0,9.86,61.5,,2025-06-24 16:33:06,true
Amazon Bedrock Standard,Claude 3.5 Haiku Standard,200000,35.0,9.94,55.8,,2025-06-24 16:33:06,true
Microsoft Azure,Phi-3 Medium 14B,128000,25.0,9.96,52.4,,2025-06-24 16:33:06,true
SambaNova,DeepSeek R1 Distill Llama 70B,131000,48.0,10.05,310.4,,2025-06-24 16:33:06,true
Hyperbolic,Qwen2.5 Coder 32B,131000,36.0,10.13,55.1,,2025-06-24 16:33:06,true
Lambda (FP8),Llama 3.1 70B (FP8),128000,35.0,10.14,50.5,,2025-06-24 16:33:06,true
AI21 Labs,Jamba 1.6 Large,256000,29.0,10.19,53.4,,2025-06-24 16:33:06,true
Microsoft Azure,o1-mini,128000,54.0,10.22,259.8,,2025-06-24 16:33:06,true
Deepinfra,Llama 3.1 8B,128000,24.0,10.28,51.0,,2025-06-24 16:33:06,true
Fireworks Fast,DeepSeek R1 0528 (May '25) Fast,164000,68.0,10.39,262.1,,2025-06-24 16:33:06,true
GMI (FP8),Qwen3 32B (FP8),33000,44.0,10.46,53.5,,2025-06-24 16:33:06,true
Microsoft Azure,Jamba 1.5 Large,256000,29.0,10.55,50.6,,2025-06-24 16:33:06,true
Lambda (FP8),Llama 3.1 Nemotron 70B (FP8),128000,37.0,10.58,48.4,,2025-06-24 16:33:06,true
Replicate,Llama 3 70B,8000,27.0,10.64,48.9,,2025-06-24 16:33:06,true
Nebius Base,Mistral NeMo Base,128000,20.0,10.76,49.2,,2025-06-24 16:33:06,true
Cohere,Command-R+,128000,21.0,10.81,47.4,,2025-06-24 16:33:06,true
Mistral,Mixtral 8x22B,65000,26.0,10.92,47.2,,2025-06-24 16:33:06,true
Amazon Bedrock,Llama 3 70B,8000,27.0,10.93,47.5,,2025-06-24 16:33:06,true
